
=== CAN Simulator — RANDOM MODE ===
Session  : encode-test
Speed    : 1.0x
Press Ctrl+C to stop

Session published: encode-test
  [1] Car_Status @ 1774961356.207s signals=['door_latche_status:6', 'selective_unlock_statuss:1']
  [43] Steering_Status @ 1774961356.364s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [44] Transmission_Status @ 1774961356.364s signals=['Gear_Position:0', 'Gear_Number:0']
  [45] Brake_Status @ 1774961356.364s signals=['Brake_Pressure:0', 'ABS_State:0']
  [46] Fuel_Status @ 1774961356.364s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [47] Wheel_Speed @ 1774961356.415s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [48] Suspension_Status @ 1774961356.415s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [49] Tyre_Pressure @ 1774961356.415s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [50] Body_Control @ 1774961356.415s signals=['Headlight_State:0', 'Wiper_State:0']
  [51] Engine_Status @ 1774961356.415s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [52] Vehicle_Speed @ 1774961356.415s signals=['Speed_High:0', 'Speed_Low:0']
  [53] Steering_Status @ 1774961356.415s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [54] Transmission_Status @ 1774961356.415s signals=['Gear_Position:0', 'Gear_Number:0']
  [55] Brake_Status @ 1774961356.415s signals=['Brake_Pressure:0', 'ABS_State:0']
  [56] Fuel_Status @ 1774961356.415s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [57] Wheel_Speed @ 1774961356.466s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [58] Suspension_Status @ 1774961356.466s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [59] Tyre_Pressure @ 1774961356.466s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [60] Body_Control @ 1774961356.466s signals=['Headlight_State:0', 'Wiper_State:0']
  [61] Engine_Status @ 1774961356.466s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [62] Vehicle_Speed @ 1774961356.466s signals=['Speed_High:0', 'Speed_Low:0']
  [63] Steering_Status @ 1774961356.466s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [64] Transmission_Status @ 1774961356.466s signals=['Gear_Position:0', 'Gear_Number:0']
  [65] Brake_Status @ 1774961356.466s signals=['Brake_Pressure:0', 'ABS_State:0']
  [66] Fuel_Status @ 1774961356.466s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [67] Wheel_Speed @ 1774961356.516s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [68] Suspension_Status @ 1774961356.516s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [69] Tyre_Pressure @ 1774961356.516s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [70] Body_Control @ 1774961356.516s signals=['Headlight_State:0', 'Wiper_State:0']
  [71] Engine_Status @ 1774961356.516s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [72] Vehicle_Speed @ 1774961356.516s signals=['Speed_High:0', 'Speed_Low:0']
  [73] Steering_Status @ 1774961356.516s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [74] Transmission_Status @ 1774961356.516s signals=['Gear_Position:0', 'Gear_Number:0']
  [75] Brake_Status @ 1774961356.516s signals=['Brake_Pressure:0', 'ABS_State:0']
  [76] Fuel_Status @ 1774961356.516s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [77] Wheel_Speed @ 1774961356.569s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [78] Suspension_Status @ 1774961356.569s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [79] Tyre_Pressure @ 1774961356.569s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [80] Body_Control @ 1774961356.569s signals=['Headlight_State:0', 'Wiper_State:0']
  [81] Engine_Status @ 1774961356.569s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [82] Vehicle_Speed @ 1774961356.569s signals=['Speed_High:0', 'Speed_Low:0']
  [83] Steering_Status @ 1774961356.569s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [84] Transmission_Status @ 1774961356.569s signals=['Gear_Position:0', 'Gear_Number:0']
  [85] Brake_Status @ 1774961356.569s signals=['Brake_Pressure:0', 'ABS_State:0']
  [86] Fuel_Status @ 1774961356.569s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [87] Wheel_Speed @ 1774961356.623s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [88] Suspension_Status @ 1774961356.623s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [89] Tyre_Pressure @ 1774961356.623s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [90] Body_Control @ 1774961356.623s signals=['Headlight_State:0', 'Wiper_State:0']
  [91] Engine_Status @ 1774961356.623s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [92] Vehicle_Speed @ 1774961356.623s signals=['Speed_High:0', 'Speed_Low:0']
  [93] Steering_Status @ 1774961356.623s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [94] Transmission_Status @ 1774961356.623s signals=['Gear_Position:0', 'Gear_Number:0']
  [95] Brake_Status @ 1774961356.623s signals=['Brake_Pressure:0', 'ABS_State:0']
  [96] Fuel_Status @ 1774961356.623s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [97] Wheel_Speed @ 1774961356.674s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [98] Suspension_Status @ 1774961356.674s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [99] Tyre_Pressure @ 1774961356.674s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [100] Body_Control @ 1774961356.674s signals=['Headlight_State:0', 'Wiper_State:0']
  [101] Engine_Status @ 1774961356.674s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [102] Vehicle_Speed @ 1774961356.674s signals=['Speed_High:0', 'Speed_Low:0']
  [103] Steering_Status @ 1774961356.674s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [104] Transmission_Status @ 1774961356.674s signals=['Gear_Position:0', 'Gear_Number:0']
  [105] Brake_Status @ 1774961356.674s signals=['Brake_Pressure:0', 'ABS_State:0']
  [106] Fuel_Status @ 1774961356.674s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [107] Wheel_Speed @ 1774961356.725s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [108] Suspension_Status @ 1774961356.725s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [109] Tyre_Pressure @ 1774961356.725s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [110] Body_Control @ 1774961356.725s signals=['Headlight_State:0', 'Wiper_State:0']
  [111] Engine_Status @ 1774961356.725s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [112] Vehicle_Speed @ 1774961356.725s signals=['Speed_High:0', 'Speed_Low:0']
  [113] Steering_Status @ 1774961356.725s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [114] Transmission_Status @ 1774961356.725s signals=['Gear_Position:0', 'Gear_Number:0']
  [115] Brake_Status @ 1774961356.725s signals=['Brake_Pressure:0', 'ABS_State:0']
  [116] Fuel_Status @ 1774961356.725s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [117] Wheel_Speed @ 1774961356.776s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [118] Suspension_Status @ 1774961356.776s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [119] Tyre_Pressure @ 1774961356.776s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [120] Body_Control @ 1774961356.776s signals=['Headlight_State:0', 'Wiper_State:0']
  [121] Engine_Status @ 1774961356.776s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [122] Vehicle_Speed @ 1774961356.776s signals=['Speed_High:0', 'Speed_Low:0']
  [123] Steering_Status @ 1774961356.776s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [124] Transmission_Status @ 1774961356.776s signals=['Gear_Position:0', 'Gear_Number:0']
  [125] Brake_Status @ 1774961356.776s signals=['Brake_Pressure:0', 'ABS_State:0']
  [126] Fuel_Status @ 1774961356.776s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [127] Wheel_Speed @ 1774961356.827s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [128] Suspension_Status @ 1774961356.827s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [129] Tyre_Pressure @ 1774961356.827s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [130] Body_Control @ 1774961356.827s signals=['Headlight_State:0', 'Wiper_State:0']
  [131] Engine_Status @ 1774961356.827s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [132] Vehicle_Speed @ 1774961356.827s signals=['Speed_High:0', 'Speed_Low:0']
  [133] Steering_Status @ 1774961356.827s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [134] Transmission_Status @ 1774961356.827s signals=['Gear_Position:0', 'Gear_Number:0']
  [135] Brake_Status @ 1774961356.827s signals=['Brake_Pressure:0', 'ABS_State:0']
  [136] Fuel_Status @ 1774961356.827s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [137] Wheel_Speed @ 1774961356.878s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [138] Suspension_Status @ 1774961356.878s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [139] Tyre_Pressure @ 1774961356.878s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [140] Body_Control @ 1774961356.878s signals=['Headlight_State:0', 'Wiper_State:0']
  [141] Engine_Status @ 1774961356.878s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [142] Vehicle_Speed @ 1774961356.878s signals=['Speed_High:0', 'Speed_Low:0']
  [143] Steering_Status @ 1774961356.878s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [144] Transmission_Status @ 1774961356.878s signals=['Gear_Position:0', 'Gear_Number:0']
  [145] Brake_Status @ 1774961356.878s signals=['Brake_Pressure:0', 'ABS_State:0']
  [146] Fuel_Status @ 1774961356.878s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [147] Wheel_Speed @ 1774961356.929s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [148] Suspension_Status @ 1774961356.929s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [149] Tyre_Pressure @ 1774961356.929s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [150] Body_Control @ 1774961356.929s signals=['Headlight_State:0', 'Wiper_State:0']
  [151] Engine_Status @ 1774961356.929s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [152] Vehicle_Speed @ 1774961356.929s signals=['Speed_High:0', 'Speed_Low:0']
  [153] Steering_Status @ 1774961356.929s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [154] Transmission_Status @ 1774961356.929s signals=['Gear_Position:0', 'Gear_Number:0']
  [155] Brake_Status @ 1774961356.929s signals=['Brake_Pressure:0', 'ABS_State:0']
  [156] Fuel_Status @ 1774961356.929s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [157] Wheel_Speed @ 1774961356.979s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [158] Suspension_Status @ 1774961356.979s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [159] Tyre_Pressure @ 1774961356.979s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [160] Body_Control @ 1774961356.979s signals=['Headlight_State:0', 'Wiper_State:0']
  [161] Engine_Status @ 1774961356.979s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [162] Vehicle_Speed @ 1774961356.979s signals=['Speed_High:0', 'Speed_Low:0']
  [163] Steering_Status @ 1774961356.979s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [164] Transmission_Status @ 1774961356.979s signals=['Gear_Position:0', 'Gear_Number:0']
  [165] Brake_Status @ 1774961356.979s signals=['Brake_Pressure:0', 'ABS_State:0']
  [166] Fuel_Status @ 1774961356.979s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [167] Wheel_Speed @ 1774961357.030s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [168] Suspension_Status @ 1774961357.030s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [169] Tyre_Pressure @ 1774961357.030s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [170] Body_Control @ 1774961357.030s signals=['Headlight_State:0', 'Wiper_State:0']
  [171] Engine_Status @ 1774961357.030s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [172] Vehicle_Speed @ 1774961357.030s signals=['Speed_High:0', 'Speed_Low:0']
  [173] Steering_Status @ 1774961357.030s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [174] Transmission_Status @ 1774961357.030s signals=['Gear_Position:0', 'Gear_Number:0']
  [175] Brake_Status @ 1774961357.030s signals=['Brake_Pressure:0', 'ABS_State:0']
  [176] Fuel_Status @ 1774961357.030s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [177] Wheel_Speed @ 1774961357.081s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [178] Suspension_Status @ 1774961357.081s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [179] Tyre_Pressure @ 1774961357.081s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [180] Body_Control @ 1774961357.081s signals=['Headlight_State:0', 'Wiper_State:0']
  [181] Engine_Status @ 1774961357.081s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [182] Vehicle_Speed @ 1774961357.081s signals=['Speed_High:0', 'Speed_Low:0']
  [183] Steering_Status @ 1774961357.081s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [184] Transmission_Status @ 1774961357.081s signals=['Gear_Position:0', 'Gear_Number:0']
  [185] Brake_Status @ 1774961357.081s signals=['Brake_Pressure:0', 'ABS_State:0']
  [186] Fuel_Status @ 1774961357.081s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [187] Wheel_Speed @ 1774961357.137s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [188] Suspension_Status @ 1774961357.137s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [189] Tyre_Pressure @ 1774961357.137s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [190] Body_Control @ 1774961357.137s signals=['Headlight_State:0', 'Wiper_State:0']
  [191] Engine_Status @ 1774961357.137s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [192] Vehicle_Speed @ 1774961357.137s signals=['Speed_High:0', 'Speed_Low:0']
  [193] Steering_Status @ 1774961357.137s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [194] Transmission_Status @ 1774961357.137s signals=['Gear_Position:0', 'Gear_Number:0']
  [195] Brake_Status @ 1774961357.137s signals=['Brake_Pressure:0', 'ABS_State:0']
  [196] Fuel_Status @ 1774961357.137s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [197] Wheel_Speed @ 1774961357.188s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [198] Suspension_Status @ 1774961357.188s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [199] Tyre_Pressure @ 1774961357.188s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [200] Body_Control @ 1774961357.188s signals=['Headlight_State:0', 'Wiper_State:0']
  [201] Engine_Status @ 1774961357.188s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [202] Vehicle_Speed @ 1774961357.188s signals=['Speed_High:0', 'Speed_Low:0']
  [203] Steering_Status @ 1774961357.188s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [204] Transmission_Status @ 1774961357.188s signals=['Gear_Position:0', 'Gear_Number:0']
  [205] Brake_Status @ 1774961357.188s signals=['Brake_Pressure:0', 'ABS_State:0']
  [206] Fuel_Status @ 1774961357.188s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [207] Wheel_Speed @ 1774961357.241s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [208] Suspension_Status @ 1774961357.241s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [209] Tyre_Pressure @ 1774961357.241s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [210] Body_Control @ 1774961357.241s signals=['Headlight_State:0', 'Wiper_State:0']
  [211] key_comm @ 1774961357.241s signals=['KEY_Pos:1', 'KEY_Butt:1']
  [212] Engine_Status @ 1774961357.241s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [213] Vehicle_Speed @ 1774961357.241s signals=['Speed_High:0', 'Speed_Low:0']
  [214] Steering_Status @ 1774961357.241s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [215] Transmission_Status @ 1774961357.241s signals=['Gear_Position:0', 'Gear_Number:0']
  [216] Brake_Status @ 1774961357.241s signals=['Brake_Pressure:0', 'ABS_State:0']
  [217] Fuel_Status @ 1774961357.241s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [218] Wheel_Speed @ 1774961357.293s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [219] Suspension_Status @ 1774961357.293s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [220] Tyre_Pressure @ 1774961357.293s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [221] Body_Control @ 1774961357.293s signals=['Headlight_State:0', 'Wiper_State:0']
  [222] Engine_Status @ 1774961357.293s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [223] Vehicle_Speed @ 1774961357.293s signals=['Speed_High:0', 'Speed_Low:0']
  [224] Steering_Status @ 1774961357.293s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [225] Transmission_Status @ 1774961357.293s signals=['Gear_Position:0', 'Gear_Number:0']
  [226] Brake_Status @ 1774961357.293s signals=['Brake_Pressure:0', 'ABS_State:0']
  [227] Fuel_Status @ 1774961357.293s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [228] Wheel_Speed @ 1774961357.344s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [229] Suspension_Status @ 1774961357.344s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [230] Tyre_Pressure @ 1774961357.344s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [231] Body_Control @ 1774961357.344s signals=['Headlight_State:0', 'Wiper_State:0']
  [232] Engine_Status @ 1774961357.344s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [233] Vehicle_Speed @ 1774961357.344s signals=['Speed_High:0', 'Speed_Low:0']
  [234] Steering_Status @ 1774961357.344s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [235] Transmission_Status @ 1774961357.344s signals=['Gear_Position:0', 'Gear_Number:0']
  [236] Brake_Status @ 1774961357.344s signals=['Brake_Pressure:0', 'ABS_State:0']
  [237] Fuel_Status @ 1774961357.344s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [238] Wheel_Speed @ 1774961357.395s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [239] Suspension_Status @ 1774961357.395s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [240] Tyre_Pressure @ 1774961357.395s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [241] Body_Control @ 1774961357.395s signals=['Headlight_State:0', 'Wiper_State:0']
  [242] Engine_Status @ 1774961357.395s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [243] Vehicle_Speed @ 1774961357.395s signals=['Speed_High:0', 'Speed_Low:0']
  [244] Steering_Status @ 1774961357.395s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [245] Transmission_Status @ 1774961357.395s signals=['Gear_Position:0', 'Gear_Number:0']
  [246] Brake_Status @ 1774961357.395s signals=['Brake_Pressure:0', 'ABS_State:0']
  [247] Fuel_Status @ 1774961357.395s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [248] Wheel_Speed @ 1774961357.446s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [249] Suspension_Status @ 1774961357.446s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [250] Tyre_Pressure @ 1774961357.446s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [251] Body_Control @ 1774961357.446s signals=['Headlight_State:0', 'Wiper_State:0']
  [252] Engine_Status @ 1774961357.446s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [253] Vehicle_Speed @ 1774961357.446s signals=['Speed_High:0', 'Speed_Low:0']
  [254] Steering_Status @ 1774961357.446s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [255] Transmission_Status @ 1774961357.446s signals=['Gear_Position:0', 'Gear_Number:0']
  [256] Brake_Status @ 1774961357.446s signals=['Brake_Pressure:0', 'ABS_State:0']
  [257] Fuel_Status @ 1774961357.446s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [258] Wheel_Speed @ 1774961357.497s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [259] Suspension_Status @ 1774961357.497s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [260] Tyre_Pressure @ 1774961357.497s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [261] Body_Control @ 1774961357.497s signals=['Headlight_State:0', 'Wiper_State:0']
  [262] Engine_Status @ 1774961357.497s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [263] Vehicle_Speed @ 1774961357.497s signals=['Speed_High:0', 'Speed_Low:0']
  [264] Steering_Status @ 1774961357.497s signals=['SteeringAngle_High:0', 'SteeringAngle_Low:0']
  [265] Transmission_Status @ 1774961357.497s signals=['Gear_Position:0', 'Gear_Number:0']
  [266] Brake_Status @ 1774961357.497s signals=['Brake_Pressure:0', 'ABS_State:0']
  [267] Fuel_Status @ 1774961357.497s signals=['Fuel_Level:0', 'Fuel_Consumption_Rate:0']
  [268] Wheel_Speed @ 1774961357.547s signals=['Wheel_Speed_FL:0', 'Wheel_Speed_FR:0']
  [269] Suspension_Status @ 1774961357.547s signals=['Suspension_FL:0', 'Suspension_FR:0']
  [270] Tyre_Pressure @ 1774961357.547s signals=['Tyre_Pressure_FL:0', 'Tyre_Pressure_FR:0']
  [271] Body_Control @ 1774961357.547s signals=['Headlight_State:0', 'Wiper_State:0']
  [272] Engine_Status @ 1774961357.547s signals=['Engine_RPM_High:0', 'Engine_RPM_Low:0']
  [273] Vehicle_Speed @ 1774961357.547s signals=['Speed_High:0', 'Speed_Low:0']
